event_time,event_id,vehicle_id,occupant_id,seat_position,occupant_role,posture,seat_track_position,seat_type,seat_performance,belt_use,belt_failure,belt_anchorage,total_surprisal_bits,occupant_anomaly_percentile,anomaly_tier,anomaly_severity,dominant_contributor,dominant_contribution_percent,top_3_contributors,anomaly_signature,source_type,source_reference,model_type,model_version
2026-01-01T00:00:18,OCC-00000019,SIM-467172,OCC-29092523,SECOND LEFT,PASSENGER,NORMAL POSTURE,NOT ADJUSTABLE SEAT TRACK,BENCH,NO FAILURE,LAP AND SHOULDER,NO FAILURE,NO UPPER ANCHOR,9.119753408527693,45.695,BASELINE,MODERATE,seat_position,44.799190818972555,seat_position:44.80% | seat_type:20.93% | belt_use:15.40%,BASELINE: seat position dominates anomaly (44.8% contribution),SYNTHETIC_FROM_CIREN_EMPIRICAL_MODEL,NHTSA CIREN Public Data v1.2.1 / OA,DEPENDENCY_AWARE_EMPIRICAL,CIREN-DAM-v1
2026-01-01T00:00:19,OCC-00000020,SIM-905845,OCC-81044985,FRONT LEFT SIDE,DRIVER,NORMAL POSTURE,SEAT BETWEEN FORWARD AND MIDDLE,BUCKET,NO FAILURE,LAP AND SHOULDER,NO FAILURE,FULL UP,6.084487937853726,12.14,BASELINE,LOW,seat_track_position,43.43076694848564,seat_track_position:43.43% | belt_anchorage:23.41% | seat_position:11.06%,BASELINE: seat track position dominates anomaly (43.4% contribution),SYNTHETIC_FROM_CIREN_EMPIRICAL_MODEL,NHTSA CIREN Public Data v1.2.1 / OA,DEPENDENCY_AWARE_EMPIRICAL,CIREN-DAM-v1
2026-01-01T00:00:20,OCC-00000021,SIM-679646,OCC-11374519,SECOND LEFT,PASSENGER,NORMAL POSTURE,NOT ADJUSTABLE SEAT TRACK,BENCH WITH FOLD BACK,NO FAILURE,NONE USED/AVAILABLE,NOT USED/AVAILABLE,NO UPPER ANCHOR,8.384420213480396,36.505,BASELINE,MODERATE,seat_position,48.728184271314575,seat_position:48.73% | belt_use:18.63% | seat_type:17.25%,BASELINE: seat position dominates anomaly (48.7% contribution),SYNTHETIC_FROM_CIREN_EMPIRICAL_MODEL,NHTSA CIREN Public Data v1.2.1 / OA,DEPENDENCY_AWARE_EMPIRICAL,CIREN-DAM-v1
2026-01-01T00:00:21,OCC-00000022,SIM-282787,OCC-87595163,FRONT LEFT SIDE,DRIVER,NORMAL POSTURE,NOT COLLECTED/UNKNOWN,BUCKET WITH FOLD BACK,DEFORMED BY INTRUSION,LAP AND SHOULDER,NOT COLLECTED/UNKNOWN,FULL UP,22.363365476507948,99.92,EXTREME,CRITICAL,belt_failure,36.31913501477171,belt_failure:36.32% | seat_track_position:23.15% | seat_type:15.23%,EXTREME: belt failure dominates anomaly (36.3% contribution),SYNTHETIC_FROM_CIREN_EMPIRICAL_MODEL,NHTSA CIREN Public Data v1.2.1 / OA,DEPENDENCY_AWARE_EMPIRICAL,CIREN-DAM-v1
2026-01-01T00:00:22,OCC-00000023,SIM-106648,OCC-92433138,FRONT RIGHT SIDE,PASSENGER,NORMAL POSTURE,SEAT BETWEEN MIDDLE AND REAR,SPLIT BENCH WITH SEPARATE BACK CUSHIONS,NO FAILURE,NONE USED/AVAILABLE,NOT USED/AVAILABLE,MID POSITION,15.308747859060812,95.15,HIGH,ELEVATED,seat_type,28.78088005785565,seat_type:28.78% | belt_use:21.70% | belt_anchorage:20.17%,HIGH: seat type dominates anomaly (28.8% contribution),SYNTHETIC_FROM_CIREN_EMPIRICAL_MODEL,NHTSA CIREN Public Data v1.2.1 / OA,DEPENDENCY_AWARE_EMPIRICAL,CIREN-DAM-v1
2026-01-01T00:00:23,OCC-00000024,SIM-659862,OCC-82874140,FRONT LEFT SIDE,DRIVER,NORMAL POSTURE,SEAT BETWEEN MIDDLE AND REAR,BUCKET,NO FAILURE,NONE USED/AVAILABLE,NOT USED/AVAILABLE,POSITION UNKNOWN,11.070222936428094,67.12,MODERATE,MODERATE,belt_anchorage,46.66823111056621,belt_anchorage:46.67% | belt_use:20.48% | seat_track_position:16.41%,MODERATE: belt anchorage dominates anomaly (46.7% contribution),SYNTHETIC_FROM_CIREN_EMPIRICAL_MODEL,NHTSA CIREN Public Data v1.2.1 / OA,DEPENDENCY_AWARE_EMPIRICAL,CIREN-DAM-v1
2026-01-01T00:00:24,OCC-00000025,SIM-224893,OCC-10920871,FRONT LEFT SIDE,DRIVER,NORMAL POSTURE,SEAT BETWEEN MIDDLE AND REAR,BUCKET,TRACK/ANCHOR FAILURE,LAP AND SHOULDER,NO FAILURE,NO UPPER ANCHOR,12.776440228129259,82.61500000000001,ELEVATED,ELEVATED,seat_performance,48.57534866535032,seat_performance:48.58% | belt_anchorage:25.12% | seat_track_position:14.22%,ELEVATED: seat performance dominates anomaly (48.6% contribution),SYNTHETIC_FROM_CIREN_EMPIRICAL_MODEL,NHTSA CIREN Public Data v1.2.1 / OA,DEPENDENCY_AWARE_EMPIRICAL,CIREN-DAM-v1
2026-01-01T00:00:25,OCC-00000026,SIM-197604,OCC-37642307,FRONT RIGHT SIDE,PASSENGER,NORMAL POSTURE,SEAT AT REAR MOST POSITION,BUCKET WITH FOLD BACK,NO FAILURE,NONE USED/AVAILABLE,NOT USED/AVAILABLE,NO UPPER ANCHOR,10.45950567325533,60.505,MODERATE,MODERATE,seat_type,29.71961155608512,seat_type:29.72% | seat_position:21.52% | belt_use:17.00%,MODERATE: seat type dominates anomaly (29.7% contribution),SYNTHETIC_FROM_CIREN_EMPIRICAL_MODEL,NHTSA CIREN Public Data v1.2.1 / OA,DEPENDENCY_AWARE_EMPIRICAL,CIREN-DAM-v1
2026-01-01T00:00:26,OCC-00000027,SIM-625705,OCC-73691010,FRONT LEFT SIDE,DRIVER,NORMAL POSTURE,SEAT AT REAR MOST POSITION,BUCKET,DEFORMED BY INTRUSION,LAP AND SHOULDER,NO FAILURE,FULL UP,7.69992233099386,28.785,BASELINE,LOW,seat_performance,32.86415898655119,seat_performance:32.86% | seat_track_position:26.30% | belt_anchorage:18.50%,BASELINE: seat performance dominates anomaly (32.9% contribution),SYNTHETIC_FROM_CIREN_EMPIRICAL_MODEL,NHTSA CIREN Public Data v1.2.1 / OA,DEPENDENCY_AWARE_EMPIRICAL,CIREN-DAM-v1
2026-01-01T00:00:27,OCC-00000028,SIM-768235,OCC-87521323,FRONT LEFT SIDE,DRIVER,NORMAL POSTURE,SEAT BETWEEN MIDDLE AND REAR,BUCKET,NO FAILURE,LAP AND SHOULDER,NO FAILURE,FULL DOWN,5.52953192704942,3.325,BASELINE,LOW,seat_track_position,32.86303080245459,seat_track_position:32.86% | belt_anchorage:27.71% | seat_position:12.17%,BASELINE: seat track position dominates anomaly (32.9% contribution),SYNTHETIC_FROM_CIREN_EMPIRICAL_MODEL,NHTSA CIREN Public Data v1.2.1 / OA,DEPENDENCY_AWARE_EMPIRICAL,CIREN-DAM-v1
2026-01-01T00:00:28,OCC-00000029,SIM-367872,OCC-44496042,FRONT LEFT SIDE,DRIVER,NOT COLLECTED/UNKNOWN,SEAT AT REAR MOST POSITION,BUCKET,NO FAILURE,NONE USED/AVAILABLE,NOT USED/AVAILABLE,FULL DOWN,10.028357390670584,57.275,MODERATE,MODERATE,posture,27.45122686389565,posture:27.45% | belt_use:20.92% | seat_track_position:20.19%,MODERATE: posture dominates anomaly (27.5% contribution),SYNTHETIC_FROM_CIREN_EMPIRICAL_MODEL,NHTSA CIREN Public Data v1.2.1 / OA,DEPENDENCY_AWARE_EMPIRICAL,CIREN-DAM-v1
2026-01-01T00:00:29,OCC-00000030,SIM-735925,OCC-55186184,FRONT LEFT SIDE,DRIVER,NOT COLLECTED/UNKNOWN,SEAT AT REAR MOST POSITION,SPLIT BENCH WITH SEPARATE BACK CUSHIONS,NO FAILURE,NONE USED/AVAILABLE,NOT USED/AVAILABLE,NO UPPER ANCHOR,14.396866019143815,92.5,HIGH,ELEVATED,seat_type,30.256732873414805,seat_type:30.26% | posture:24.47% | seat_track_position:14.07%,HIGH: seat type dominates anomaly (30.3% contribution),SYNTHETIC_FROM_CIREN_EMPIRICAL_MODEL,NHTSA CIREN Public Data v1.2.1 / OA,DEPENDENCY_AWARE_EMPIRICAL,CIREN-DAM-v1
2026-01-01T00:00:30,OCC-00000031,SIM-802774,OCC-57588324,FRONT LEFT SIDE,DRIVER,NORMAL POSTURE,SEAT BETWEEN MIDDLE AND REAR,BUCKET,DEFORMED BY OCCUPANT,LAP AND SHOULDER,NO FAILURE,FULL UP,7.932486656708433,32.71,BASELINE,LOW,seat_performance,39.67616757500177,seat_performance:39.68% | seat_track_position:22.91% | belt_anchorage:17.95%,BASELINE: seat performance dominates anomaly (39.7% contribution),SYNTHETIC_FROM_CIREN_EMPIRICAL_MODEL,NHTSA CIREN Public Data v1.2.1 / OA,DEPENDENCY_AWARE_EMPIRICAL,CIREN-DAM-v1
2026-01-01T00:00:31,OCC-00000032,SIM-576298,OCC-40806956,FRONT LEFT SIDE,DRIVER,NORMAL POSTURE,SEAT BETWEEN FORWARD AND MIDDLE,BUCKET,DEFORMED BY INTRUSION,LAP AND SHOULDER,NO FAILURE,NO UPPER ANCHOR,9.74401693813712,53.755,MODERATE,MODERATE,belt_anchorage,32.93542156962531,belt_anchorage:32.94% | seat_track_position:27.12% | seat_performance:25.91%,MODERATE: belt anchorage dominates anomaly (32.9% contribution),SYNTHETIC_FROM_CIREN_EMPIRICAL_MODEL,NHTSA CIREN Public Data v1.2.1 / OA,DEPENDENCY_AWARE_EMPIRICAL,CIREN-DAM-v1
2026-01-01T00:00:32,OCC-00000033,SIM-375956,OCC-99451566,FRONT LEFT SIDE,DRIVER,NOT COLLECTED/UNKNOWN,SEAT BETWEEN MIDDLE AND REAR,BUCKET,NO FAILURE,LAP AND SHOULDER,NO FAILURE,NO UPPER ANCHOR,10.357748693131958,59.39,MODERATE,MODERATE,posture,32.486771339452616,posture:32.49% | belt_anchorage:30.98% | seat_track_position:17.54%,MODERATE: posture dominates anomaly (32.5% contribution),SYNTHETIC_FROM_CIREN_EMPIRICAL_MODEL,NHTSA CIREN Public Data v1.2.1 / OA,DEPENDENCY_AWARE_EMPIRICAL,CIREN-DAM-v1
2026-01-01T00:00:33,OCC-00000034,SIM-290986,OCC-26722843,FRONT LEFT SIDE,DRIVER,NORMAL POSTURE,SEAT AT FORWARD MOST POSITION,BUCKET,NO FAILURE,LAP AND SHOULDER,NO FAILURE,NO UPPER ANCHOR,9.555171316797674,52.21,MODERATE,MODERATE,seat_track_position,43.29017408216934,seat_track_position:43.29% | belt_anchorage:33.59% | seat_performance:8.24%,MODERATE: seat track position dominates anomaly (43.3% contribution),SYNTHETIC_FROM_CIREN_EMPIRICAL_MODEL,NHTSA CIREN Public Data v1.2.1 / OA,DEPENDENCY_AWARE_EMPIRICAL,CIREN-DAM-v1
2026-01-01T00:00:34,OCC-00000035,SIM-138088,OCC-43261001,FRONT LEFT SIDE,DRIVER,NORMAL POSTURE,SEAT BETWEEN FORWARD AND MIDDLE,BUCKET,NO FAILURE,LAP AND SHOULDER,NO FAILURE,FULL UP,6.084487937853726,12.14,BASELINE,LOW,seat_track_position,43.43076694848564,seat_track_position:43.43% | belt_anchorage:23.41% | seat_position:11.06%,BASELINE: seat track position dominates anomaly (43.4% contribution),SYNTHETIC_FROM_CIREN_EMPIRICAL_MODEL,NHTSA CIREN Public Data v1.2.1 / OA,DEPENDENCY_AWARE_EMPIRICAL,CIREN-DAM-v1
2026-01-01T00:00:35,OCC-00000036,SIM-638964,OCC-92595891,FRONT LEFT SIDE,DRIVER,NORMAL POSTURE,SEAT AT REAR MOST POSITION,BUCKET,NO FAILURE,LAP AND SHOULDER,NO FAILURE,FULL DOWN,5.825207512044061,9.0,BASELINE,LOW,seat_track_position,34.763591989957774,seat_track_position:34.76% | belt_anchorage:26.30% | seat_position:11.55%,BASELINE: seat track position dominates anomaly (34.8% contribution),SYNTHETIC_FROM_CIREN_EMPIRICAL_MODEL,NHTSA CIREN Public Data v1.2.1 / OA,DEPENDENCY_AWARE_EMPIRICAL,CIREN-DAM-v1
2026-01-01T00:00:36,OCC-00000037,SIM-495990,OCC-43819714,FRONT RIGHT SIDE,PASSENGER,BRACING WITH FEET,SEAT AT MIDDLE TRACK POSITION,BUCKET,DEFORMED BY OTHER OCCUPANT,LAP AND SHOULDER,NO FAILURE,FULL UP,15.46999003114724,95.565,HIGH,ELEVATED,posture,33.92327663351703,posture:33.92% | seat_performance:24.78% | seat_position:14.55%,HIGH: posture dominates anomaly (33.9% contribution),SYNTHETIC_FROM_CIREN_EMPIRICAL_MODEL,NHTSA CIREN Public Data v1.2.1 / OA,DEPENDENCY_AWARE_EMPIRICAL,CIREN-DAM-v1
2026-01-01T00:00:37,OCC-00000038,SIM-618912,OCC-39798430,SECOND RIGHT,PASSENGER,NORMAL POSTURE,NOT ADJUSTABLE SEAT TRACK,BENCH,NO FAILURE,NONE USED/AVAILABLE,NOT USED/AVAILABLE,NO UPPER ANCHOR,8.80092455784991,39.945,BASELINE,MODERATE,seat_position,43.97344472749731,seat_position:43.97% | seat_type:20.91% | belt_use:15.78%,BASELINE: seat position dominates anomaly (44.0% contribution),SYNTHETIC_FROM_CIREN_EMPIRICAL_MODEL,NHTSA CIREN Public Data v1.2.1 / OA,DEPENDENCY_AWARE_EMPIRICAL,CIREN-DAM-v1
2026-01-01T00:00:38,OCC-00000039,SIM-153275,OCC-69085140,FRONT LEFT SIDE,DRIVER,NORMAL POSTURE,SEAT AT REAR MOST POSITION,BUCKET WITH FOLD BACK,NO FAILURE,LAP AND SHOULDER,NO FAILURE,FULL UP,9.119893235946815,45.9,BASELINE,MODERATE,seat_type,32.59569577291926,seat_type:32.60% | seat_track_position:22.20% | belt_anchorage:22.15%,BASELINE: seat type dominates anomaly (32.6% contribution),SYNTHETIC_FROM_CIREN_EMPIRICAL_MODEL,NHTSA CIREN Public Data v1.2.1 / OA,DEPENDENCY_AWARE_EMPIRICAL,CIREN-DAM-v1
2026-01-01T00:00:39,OCC-00000040,SIM-132594,OCC-64126375,FRONT LEFT SIDE,DRIVER,NORMAL POSTURE,SEAT BETWEEN FORWARD AND MIDDLE,BUCKET,NO FAILURE,NONE USED/AVAILABLE,NOT USED/AVAILABLE,MID POSITION,10.11462513629962,57.66,MODERATE,MODERATE,belt_anchorage,29.480604699707484,belt_anchorage:29.48% | belt_use:27.00% | seat_track_position:26.13%,MODERATE: belt anchorage dominates anomaly (29.5% contribution),SYNTHETIC_FROM_CIREN_EMPIRICAL_MODEL,NHTSA CIREN Public Data v1.2.1 / OA,DEPENDENCY_AWARE_EMPIRICAL,CIREN-DAM-v1
2026-01-01T00:00:40,OCC-00000041,SIM-966921,OCC-51789642,SECOND RIGHT,PASSENGER,NOT COLLECTED/UNKNOWN,NOT ADJUSTABLE SEAT TRACK,BENCH,NO FAILURE,NONE USED/AVAILABLE,NOT USED/AVAILABLE,FULL DOWN,14.482748597823658,92.8,HIGH,ELEVATED,belt_anchorage,37.69610154979625,belt_anchorage:37.70% | seat_position:26.72% | seat_type:12.71%,HIGH: belt anchorage dominates anomaly (37.7% contribution),SYNTHETIC_FROM_CIREN_EMPIRICAL_MODEL,NHTSA CIREN Public Data v1.2.1 / OA,DEPENDENCY_AWARE_EMPIRICAL,CIREN-DAM-v1
