anomaly_signature,event_count,event_percentage
BASELINE: seat type dominates anomaly (44.2% contribution),38,0.38
BASELINE: seat track position dominates anomaly (66.0% contribution),38,0.38
BASELINE: seat performance dominates anomaly (39.1% contribution),37,0.37
BASELINE: seat track position dominates anomaly (32.8% contribution),37,0.37
BASELINE: seat position dominates anomaly (44.0% contribution),36,0.36
MODERATE: seat type dominates anomaly (32.3% contribution),35,0.35000000000000003
BASELINE: seat position dominates anomaly (48.7% contribution),34,0.33999999999999997
BASELINE: seat type dominates anomaly (41.3% contribution),34,0.33999999999999997
BASELINE: posture dominates anomaly (38.8% contribution),33,0.33
BASELINE: seat performance dominates anomaly (41.4% contribution),32,0.32
BASELINE: belt anchorage dominates anomaly (36.5% contribution),32,0.32
BASELINE: seat track position dominates anomaly (33.2% contribution),31,0.31
MODERATE: seat position dominates anomaly (41.2% contribution),31,0.31
BASELINE: belt anchorage dominates anomaly (32.4% contribution),30,0.3
BASELINE: belt use dominates anomaly (31.6% contribution),30,0.3
BASELINE: seat type dominates anomaly (40.2% contribution),30,0.3
BASELINE: seat position dominates anomaly (51.1% contribution),30,0.3
BASELINE: belt anchorage dominates anomaly (48.6% contribution),29,0.29
BASELINE: seat performance dominates anomaly (37.9% contribution),29,0.29
BASELINE: seat position dominates anomaly (44.8% contribution),28,0.27999999999999997
BASELINE: seat position dominates anomaly (45.0% contribution),28,0.27999999999999997
MODERATE: seat position dominates anomaly (40.8% contribution),28,0.27999999999999997
BASELINE: seat track position dominates anomaly (42.4% contribution),27,0.27
BASELINE: belt anchorage dominates anomaly (37.5% contribution),27,0.27
BASELINE: belt anchorage dominates anomaly (32.7% contribution),27,0.27
BASELINE: seat position dominates anomaly (43.5% contribution),25,0.25
BASELINE: seat performance dominates anomaly (27.7% contribution),24,0.24
BASELINE: belt anchorage dominates anomaly (33.6% contribution),24,0.24
BASELINE: posture dominates anomaly (39.3% contribution),24,0.24
BASELINE: belt anchorage dominates anomaly (52.5% contribution),24,0.24
BASELINE: belt use dominates anomaly (31.4% contribution),23,0.22999999999999998
BASELINE: seat performance dominates anomaly (42.6% contribution),23,0.22999999999999998
BASELINE: seat performance dominates anomaly (29.0% contribution),23,0.22999999999999998
MODERATE: seat track position dominates anomaly (39.3% contribution),23,0.22999999999999998
BASELINE: belt anchorage dominates anomaly (33.3% contribution),23,0.22999999999999998
BASELINE: belt anchorage dominates anomaly (32.8% contribution),23,0.22999999999999998
BASELINE: seat position dominates anomaly (42.6% contribution),23,0.22999999999999998
BASELINE: seat position dominates anomaly (42.2% contribution),22,0.22
BASELINE: belt anchorage dominates anomaly (36.0% contribution),22,0.22
BASELINE: seat track position dominates anomaly (45.7% contribution),22,0.22
BASELINE: seat track position dominates anomaly (41.9% contribution),22,0.22
BASELINE: belt use dominates anomaly (28.5% contribution),22,0.22
MODERATE: seat performance dominates anomaly (25.2% contribution),22,0.22
BASELINE: seat position dominates anomaly (42.5% contribution),21,0.21
MODERATE: seat performance dominates anomaly (31.6% contribution),21,0.21
BASELINE: seat performance dominates anomaly (31.5% contribution),20,0.2
BASELINE: belt anchorage dominates anomaly (35.6% contribution),20,0.2
MODERATE: seat performance dominates anomaly (26.6% contribution),20,0.2
BASELINE: seat performance dominates anomaly (29.4% contribution),20,0.2
BASELINE: seat performance dominates anomaly (42.1% contribution),19,0.19
BASELINE: seat performance dominates anomaly (31.1% contribution),19,0.19
MODERATE: belt anchorage dominates anomaly (33.8% contribution),19,0.19
BASELINE: seat performance dominates anomaly (37.4% contribution),19,0.19
BASELINE: belt anchorage dominates anomaly (31.0% contribution),19,0.19
BASELINE: seat position dominates anomaly (41.8% contribution),19,0.19
BASELINE: seat position dominates anomaly (43.1% contribution),19,0.19
BASELINE: seat type dominates anomaly (37.6% contribution),18,0.18
MODERATE: seat performance dominates anomaly (47.1% contribution),18,0.18
BASELINE: belt anchorage dominates anomaly (31.8% contribution),18,0.18
MODERATE: seat performance dominates anomaly (26.7% contribution),18,0.18
BASELINE: seat type dominates anomaly (33.1% contribution),18,0.18
BASELINE: seat type dominates anomaly (37.3% contribution),18,0.18
BASELINE: belt anchorage dominates anomaly (34.1% contribution),18,0.18
MODERATE: seat track position dominates anomaly (38.9% contribution),18,0.18
BASELINE: belt anchorage dominates anomaly (50.1% contribution),18,0.18
BASELINE: seat position dominates anomaly (41.4% contribution),17,0.16999999999999998
MODERATE: seat track position dominates anomaly (47.9% contribution),17,0.16999999999999998
MODERATE: seat type dominates anomaly (45.1% contribution),17,0.16999999999999998
MODERATE: seat type dominates anomaly (35.2% contribution),17,0.16999999999999998
MODERATE: seat type dominates anomaly (30.3% contribution),17,0.16999999999999998
BASELINE: posture dominates anomaly (36.8% contribution),17,0.16999999999999998
MODERATE: seat position dominates anomaly (38.1% contribution),17,0.16999999999999998
MODERATE: posture dominates anomaly (31.9% contribution),17,0.16999999999999998
BASELINE: seat track position dominates anomaly (45.1% contribution),17,0.16999999999999998
BASELINE: seat track position dominates anomaly (44.2% contribution),16,0.16
BASELINE: belt use dominates anomaly (26.5% contribution),16,0.16
MODERATE: posture dominates anomaly (31.6% contribution),16,0.16
MODERATE: seat performance dominates anomaly (33.9% contribution),16,0.16
MODERATE: seat performance dominates anomaly (51.5% contribution),16,0.16
BASELINE: belt anchorage dominates anomaly (50.7% contribution),16,0.16
BASELINE: seat track position dominates anomaly (45.2% contribution),16,0.16
BASELINE: belt use dominates anomaly (28.7% contribution),16,0.16
MODERATE: seat performance dominates anomaly (35.1% contribution),15,0.15
BASELINE: belt use dominates anomaly (26.7% contribution),15,0.15
MODERATE: belt anchorage dominates anomaly (27.1% contribution),15,0.15
MODERATE: seat type dominates anomaly (34.5% contribution),15,0.15
MODERATE: seat type dominates anomaly (37.0% contribution),15,0.15
MODERATE: seat performance dominates anomaly (35.4% contribution),15,0.15
MODERATE: posture dominates anomaly (48.9% contribution),15,0.15
BASELINE: seat position dominates anomaly (44.7% contribution),15,0.15
MODERATE: seat track position dominates anomaly (54.5% contribution),14,0.13999999999999999
ELEVATED: seat performance dominates anomaly (35.6% contribution),14,0.13999999999999999
BASELINE: posture dominates anomaly (26.8% contribution),14,0.13999999999999999
MODERATE: belt anchorage dominates anomaly (31.5% contribution),14,0.13999999999999999
BASELINE: belt anchorage dominates anomaly (34.3% contribution),14,0.13999999999999999
MODERATE: seat performance dominates anomaly (27.6% contribution),14,0.13999999999999999
MODERATE: seat performance dominates anomaly (36.2% contribution),14,0.13999999999999999
BASELINE: seat type dominates anomaly (33.4% contribution),14,0.13999999999999999
MODERATE: belt anchorage dominates anomaly (33.0% contribution),14,0.13999999999999999
BASELINE: belt anchorage dominates anomaly (33.5% contribution),14,0.13999999999999999
BASELINE: seat type dominates anomaly (32.6% contribution),13,0.13
ELEVATED: seat type dominates anomaly (35.9% contribution),13,0.13
MODERATE: seat position dominates anomaly (41.0% contribution),13,0.13
MODERATE: posture dominates anomaly (30.7% contribution),13,0.13
MODERATE: posture dominates anomaly (31.0% contribution),13,0.13
MODERATE: belt anchorage dominates anomaly (43.1% contribution),13,0.13
BASELINE: posture dominates anomaly (38.4% contribution),13,0.13
MODERATE: seat performance dominates anomaly (35.8% contribution),13,0.13
MODERATE: seat performance dominates anomaly (25.0% contribution),13,0.13
MODERATE: seat position dominates anomaly (36.1% contribution),13,0.13
MODERATE: seat type dominates anomaly (29.7% contribution),12,0.12
MODERATE: seat track position dominates anomaly (36.1% contribution),12,0.12
MODERATE: seat performance dominates anomaly (33.1% contribution),12,0.12
MODERATE: seat type dominates anomaly (43.7% contribution),12,0.12
MODERATE: seat position dominates anomaly (39.0% contribution),12,0.12
MODERATE: seat type dominates anomaly (36.5% contribution),12,0.12
MODERATE: belt anchorage dominates anomaly (44.2% contribution),12,0.12
MODERATE: seat performance dominates anomaly (46.1% contribution),12,0.12
MODERATE: seat type dominates anomaly (42.2% contribution),12,0.12
MODERATE: posture dominates anomaly (48.4% contribution),12,0.12
MODERATE: seat performance dominates anomaly (38.2% contribution),12,0.12
MODERATE: seat type dominates anomaly (42.4% contribution),12,0.12
ELEVATED: seat performance dominates anomaly (30.5% contribution),12,0.12
MODERATE: seat position dominates anomaly (42.4% contribution),12,0.12
MODERATE: belt anchorage dominates anomaly (29.5% contribution),11,0.11
MODERATE: seat position dominates anomaly (54.8% contribution),11,0.11
MODERATE: posture dominates anomaly (36.4% contribution),11,0.11
MODERATE: posture dominates anomaly (33.1% contribution),11,0.11
MODERATE: seat type dominates anomaly (29.8% contribution),11,0.11
MODERATE: seat type dominates anomaly (26.6% contribution),11,0.11
MODERATE: seat performance dominates anomaly (46.6% contribution),11,0.11
MODERATE: seat performance dominates anomaly (31.5% contribution),11,0.11
MODERATE: seat performance dominates anomaly (37.4% contribution),11,0.11
MODERATE: seat type dominates anomaly (35.4% contribution),11,0.11
MODERATE: seat position dominates anomaly (58.1% contribution),11,0.11
MODERATE: seat type dominates anomaly (54.1% contribution),11,0.11
MODERATE: posture dominates anomaly (31.2% contribution),11,0.11
MODERATE: seat performance dominates anomaly (50.7% contribution),11,0.11
MODERATE: posture dominates anomaly (27.0% contribution),11,0.11
MODERATE: posture dominates anomaly (27.5% contribution),10,0.1
MODERATE: belt anchorage dominates anomaly (27.8% contribution),10,0.1
MODERATE: seat performance dominates anomaly (51.0% contribution),10,0.1
MODERATE: seat performance dominates anomaly (36.7% contribution),10,0.1
MODERATE: belt anchorage dominates anomaly (30.7% contribution),10,0.1
MODERATE: belt anchorage dominates anomaly (32.1% contribution),10,0.1
MODERATE: seat type dominates anomaly (51.0% contribution),10,0.1
MODERATE: belt anchorage dominates anomaly (28.6% contribution),10,0.1
MODERATE: posture dominates anomaly (26.5% contribution),10,0.1
MODERATE: belt anchorage dominates anomaly (28.7% contribution),10,0.1
MODERATE: seat position dominates anomaly (48.2% contribution),10,0.1
MODERATE: seat type dominates anomaly (43.5% contribution),10,0.1
MODERATE: seat track position dominates anomaly (47.4% contribution),10,0.1
MODERATE: seat position dominates anomaly (35.8% contribution),10,0.1
MODERATE: seat position dominates anomaly (51.1% contribution),10,0.1
MODERATE: seat track position dominates anomaly (43.3% contribution),9,0.09
MODERATE: seat type dominates anomaly (38.9% contribution),9,0.09
MODERATE: belt anchorage dominates anomaly (30.0% contribution),9,0.09
MODERATE: seat performance dominates anomaly (54.2% contribution),9,0.09
ELEVATED: belt use dominates anomaly (51.5% contribution),9,0.09
MODERATE: seat type dominates anomaly (48.9% contribution),9,0.09
ELEVATED: seat position dominates anomaly (33.8% contribution),9,0.09
MODERATE: seat type dominates anomaly (45.4% contribution),9,0.09
MODERATE: seat position dominates anomaly (35.7% contribution),9,0.09
MODERATE: posture dominates anomaly (32.2% contribution),9,0.09
MODERATE: belt anchorage dominates anomaly (27.9% contribution),9,0.09
MODERATE: seat type dominates anomaly (40.7% contribution),9,0.09
MODERATE: seat performance dominates anomaly (52.5% contribution),9,0.09
MODERATE: seat performance dominates anomaly (38.4% contribution),9,0.09
MODERATE: seat performance dominates anomaly (31.7% contribution),9,0.09
MODERATE: seat type dominates anomaly (30.8% contribution),9,0.09
MODERATE: seat type dominates anomaly (42.1% contribution),9,0.09
MODERATE: posture dominates anomaly (31.1% contribution),9,0.09
MODERATE: seat performance dominates anomaly (36.3% contribution),9,0.09
MODERATE: seat position dominates anomaly (38.0% contribution),9,0.09
MODERATE: belt anchorage dominates anomaly (26.7% contribution),9,0.09
HIGH: seat type dominates anomaly (28.8% contribution),8,0.08
MODERATE: belt anchorage dominates anomaly (32.9% contribution),8,0.08
MODERATE: seat performance dominates anomaly (37.0% contribution),8,0.08
MODERATE: seat position dominates anomaly (37.7% contribution),8,0.08
MODERATE: seat position dominates anomaly (35.9% contribution),8,0.08
ELEVATED: seat performance dominates anomaly (47.7% contribution),8,0.08
MODERATE: seat performance dominates anomaly (45.7% contribution),8,0.08
MODERATE: seat type dominates anomaly (46.4% contribution),8,0.08
MODERATE: belt anchorage dominates anomaly (28.0% contribution),8,0.08
MODERATE: seat performance dominates anomaly (47.6% contribution),8,0.08
MODERATE: seat type dominates anomaly (46.2% contribution),8,0.08
ELEVATED: seat performance dominates anomaly (45.5% contribution),8,0.08
MODERATE: seat performance dominates anomaly (44.4% contribution),8,0.08
ELEVATED: seat track position dominates anomaly (42.4% contribution),8,0.08
MODERATE: seat position dominates anomaly (40.7% contribution),8,0.08
MODERATE: belt use dominates anomaly (25.8% contribution),8,0.08
MODERATE: seat position dominates anomaly (35.5% contribution),8,0.08
MODERATE: seat performance dominates anomaly (51.2% contribution),8,0.08
MODERATE: posture dominates anomaly (45.7% contribution),8,0.08
ELEVATED: seat track position dominates anomaly (39.8% contribution),8,0.08
MODERATE: seat performance dominates anomaly (34.4% contribution),8,0.08
MODERATE: seat track position dominates anomaly (38.2% contribution),8,0.08
MODERATE: seat performance dominates anomaly (34.5% contribution),8,0.08
ELEVATED: seat type dominates anomaly (48.5% contribution),8,0.08
MODERATE: seat type dominates anomaly (61.3% contribution),8,0.08
MODERATE: seat track position dominates anomaly (34.9% contribution),8,0.08
MODERATE: seat performance dominates anomaly (38.8% contribution),8,0.08
MODERATE: seat position dominates anomaly (40.3% contribution),8,0.08
BASELINE: posture dominates anomaly (37.9% contribution),8,0.08
MODERATE: seat track position dominates anomaly (50.8% contribution),7,0.06999999999999999
MODERATE: belt anchorage dominates anomaly (46.7% contribution),7,0.06999999999999999
MODERATE: posture dominates anomaly (32.5% contribution),7,0.06999999999999999
MODERATE: belt use dominates anomaly (30.6% contribution),7,0.06999999999999999
MODERATE: belt anchorage dominates anomaly (45.2% contribution),7,0.06999999999999999
MODERATE: seat performance dominates anomaly (29.3% contribution),7,0.06999999999999999
ELEVATED: seat position dominates anomaly (33.5% contribution),7,0.06999999999999999
MODERATE: seat type dominates anomaly (42.6% contribution),7,0.06999999999999999
ELEVATED: seat type dominates anomaly (33.2% contribution),7,0.06999999999999999
MODERATE: posture dominates anomaly (30.4% contribution),7,0.06999999999999999
MODERATE: seat performance dominates anomaly (55.9% contribution),7,0.06999999999999999
MODERATE: belt anchorage dominates anomaly (27.2% contribution),7,0.06999999999999999
MODERATE: seat type dominates anomaly (33.4% contribution),7,0.06999999999999999
MODERATE: seat performance dominates anomaly (52.1% contribution),7,0.06999999999999999
MODERATE: seat performance dominates anomaly (32.1% contribution),7,0.06999999999999999
BASELINE: seat performance dominates anomaly (40.9% contribution),7,0.06999999999999999
MODERATE: seat type dominates anomaly (27.2% contribution),7,0.06999999999999999
HIGH: seat track position dominates anomaly (49.6% contribution),7,0.06999999999999999
MODERATE: belt anchorage dominates anomaly (40.4% contribution),7,0.06999999999999999
ELEVATED: seat performance dominates anomaly (30.0% contribution),7,0.06999999999999999
HIGH: seat track position dominates anomaly (36.0% contribution),7,0.06999999999999999
MODERATE: seat position dominates anomaly (51.0% contribution),7,0.06999999999999999
MODERATE: seat position dominates anomaly (43.6% contribution),7,0.06999999999999999
MODERATE: seat position dominates anomaly (37.4% contribution),7,0.06999999999999999
MODERATE: seat position dominates anomaly (81.0% contribution),7,0.06999999999999999
ELEVATED: seat performance dominates anomaly (39.7% contribution),7,0.06999999999999999
ELEVATED: seat position dominates anomaly (72.0% contribution),7,0.06999999999999999
MODERATE: seat type dominates anomaly (49.6% contribution),7,0.06999999999999999
MODERATE: posture dominates anomaly (30.1% contribution),7,0.06999999999999999
MODERATE: seat position dominates anomaly (38.5% contribution),7,0.06999999999999999
ELEVATED: seat position dominates anomaly (31.9% contribution),7,0.06999999999999999
ELEVATED: seat type dominates anomaly (28.4% contribution),7,0.06999999999999999
MODERATE: seat position dominates anomaly (68.8% contribution),7,0.06999999999999999
ELEVATED: seat performance dominates anomaly (39.5% contribution),7,0.06999999999999999
MODERATE: seat position dominates anomaly (36.5% contribution),6,0.06
MODERATE: seat type dominates anomaly (48.6% contribution),6,0.06
MODERATE: belt use dominates anomaly (26.0% contribution),6,0.06
MODERATE: seat type dominates anomaly (40.9% contribution),6,0.06
ELEVATED: seat type dominates anomaly (46.8% contribution),6,0.06
MODERATE: seat performance dominates anomaly (34.3% contribution),6,0.06
ELEVATED: seat type dominates anomaly (30.0% contribution),6,0.06
MODERATE: seat performance dominates anomaly (50.4% contribution),6,0.06
ELEVATED: posture dominates anomaly (31.8% contribution),6,0.06
MODERATE: seat position dominates anomaly (48.8% contribution),6,0.06
MODERATE: posture dominates anomaly (27.6% contribution),6,0.06
MODERATE: seat performance dominates anomaly (34.8% contribution),6,0.06
MODERATE: seat type dominates anomaly (42.5% contribution),6,0.06
ELEVATED: belt anchorage dominates anomaly (37.0% contribution),6,0.06
MODERATE: seat position dominates anomaly (52.4% contribution),6,0.06
MODERATE: seat position dominates anomaly (42.3% contribution),6,0.06
MODERATE: posture dominates anomaly (46.2% contribution),6,0.06
MODERATE: seat type dominates anomaly (46.5% contribution),6,0.06
MODERATE: seat type dominates anomaly (31.4% contribution),6,0.06
MODERATE: seat track position dominates anomaly (39.5% contribution),6,0.06
MODERATE: seat track position dominates anomaly (57.8% contribution),6,0.06
MODERATE: posture dominates anomaly (31.3% contribution),6,0.06
MODERATE: seat track position dominates anomaly (36.5% contribution),6,0.06
HIGH: seat type dominates anomaly (29.6% contribution),6,0.06
MODERATE: belt use dominates anomaly (30.5% contribution),6,0.06
MODERATE: seat position dominates anomaly (56.6% contribution),6,0.06
MODERATE: seat position dominates anomaly (67.1% contribution),6,0.06
MODERATE: posture dominates anomaly (31.5% contribution),6,0.06
MODERATE: seat position dominates anomaly (36.6% contribution),6,0.06
MODERATE: seat position dominates anomaly (35.4% contribution),6,0.06
MODERATE: seat type dominates anomaly (44.0% contribution),6,0.06
MODERATE: seat position dominates anomaly (37.2% contribution),6,0.06
MODERATE: seat track position dominates anomaly (45.9% contribution),6,0.06
MODERATE: seat performance dominates anomaly (55.6% contribution),6,0.06
ELEVATED: seat position dominates anomaly (41.8% contribution),6,0.06
MODERATE: seat track position dominates anomaly (45.5% contribution),6,0.06
ELEVATED: seat position dominates anomaly (60.4% contribution),6,0.06
MODERATE: seat performance dominates anomaly (55.0% contribution),6,0.06
HIGH: seat performance dominates anomaly (37.7% contribution),6,0.06
ELEVATED: seat track position dominates anomaly (43.6% contribution),6,0.06
MODERATE: seat position dominates anomaly (38.3% contribution),6,0.06
MODERATE: seat position dominates anomaly (90.3% contribution),6,0.06
MODERATE: seat performance dominates anomaly (34.6% contribution),6,0.06
MODERATE: seat type dominates anomaly (37.3% contribution),6,0.06
MODERATE: seat type dominates anomaly (74.5% contribution),6,0.06
ELEVATED: seat type dominates anomaly (34.5% contribution),6,0.06
MODERATE: seat performance dominates anomaly (42.9% contribution),6,0.06
HIGH: seat performance dominates anomaly (34.5% contribution),6,0.06
MODERATE: seat type dominates anomaly (44.6% contribution),6,0.06
ELEVATED: seat type dominates anomaly (41.4% contribution),6,0.06
MODERATE: belt anchorage dominates anomaly (26.0% contribution),6,0.06
MODERATE: seat type dominates anomaly (29.4% contribution),6,0.06
MODERATE: seat position dominates anomaly (39.2% contribution),6,0.06
HIGH: seat type dominates anomaly (31.0% contribution),6,0.06
MODERATE: seat performance dominates anomaly (46.7% contribution),6,0.06
ELEVATED: seat track position dominates anomaly (43.4% contribution),6,0.06
ELEVATED: seat performance dominates anomaly (50.3% contribution),6,0.06
MODERATE: belt anchorage dominates anomaly (41.3% contribution),6,0.06
ELEVATED: seat position dominates anomaly (29.6% contribution),6,0.06
MODERATE: seat type dominates anomaly (52.5% contribution),6,0.06
ELEVATED: seat performance dominates anomaly (30.2% contribution),6,0.06
ELEVATED: seat performance dominates anomaly (31.7% contribution),5,0.05
ELEVATED: seat position dominates anomaly (33.1% contribution),5,0.05
ELEVATED: posture dominates anomaly (53.9% contribution),5,0.05
MODERATE: posture dominates anomaly (41.5% contribution),5,0.05
ELEVATED: seat type dominates anomaly (48.4% contribution),5,0.05
ELEVATED: seat performance dominates anomaly (29.2% contribution),5,0.05
ELEVATED: seat performance dominates anomaly (35.4% contribution),5,0.05
MODERATE: belt anchorage dominates anomaly (39.4% contribution),5,0.05
HIGH: seat performance dominates anomaly (41.2% contribution),5,0.05
MODERATE: posture dominates anomaly (41.1% contribution),5,0.05
ELEVATED: seat position dominates anomaly (44.6% contribution),5,0.05
ELEVATED: seat type dominates anomaly (33.3% contribution),5,0.05
HIGH: posture dominates anomaly (31.1% contribution),5,0.05
ELEVATED: posture dominates anomaly (30.6% contribution),5,0.05
ELEVATED: seat position dominates anomaly (46.0% contribution),5,0.05
ELEVATED: seat position dominates anomaly (64.1% contribution),5,0.05
ELEVATED: seat performance dominates anomaly (28.9% contribution),5,0.05
EXTREME: seat type dominates anomaly (26.7% contribution),5,0.05
MODERATE: seat performance dominates anomaly (23.4% contribution),5,0.05
MODERATE: seat type dominates anomaly (28.2% contribution),5,0.05
ELEVATED: seat performance dominates anomaly (25.8% contribution),5,0.05
ELEVATED: seat performance dominates anomaly (62.2% contribution),5,0.05
MODERATE: seat type dominates anomaly (26.5% contribution),5,0.05
ELEVATED: seat type dominates anomaly (36.0% contribution),5,0.05
MODERATE: seat type dominates anomaly (41.8% contribution),5,0.05
ELEVATED: seat type dominates anomaly (35.8% contribution),5,0.05
ELEVATED: seat type dominates anomaly (34.1% contribution),5,0.05
ELEVATED: belt anchorage dominates anomaly (24.9% contribution),5,0.05
ELEVATED: seat type dominates anomaly (42.7% contribution),5,0.05
ELEVATED: seat performance dominates anomaly (27.9% contribution),5,0.05
MODERATE: posture dominates anomaly (30.3% contribution),5,0.05
MODERATE: seat performance dominates anomaly (49.9% contribution),5,0.05
MODERATE: posture dominates anomaly (35.3% contribution),5,0.05
ELEVATED: seat performance dominates anomaly (34.5% contribution),5,0.05
ELEVATED: seat type dominates anomaly (42.0% contribution),5,0.05
MODERATE: seat type dominates anomaly (36.7% contribution),5,0.05
EXTREME: seat type dominates anomaly (28.0% contribution),5,0.05
MODERATE: seat performance dominates anomaly (24.6% contribution),5,0.05
MODERATE: seat position dominates anomaly (50.8% contribution),5,0.05
MODERATE: seat type dominates anomaly (39.5% contribution),5,0.05
MODERATE: seat track position dominates anomaly (63.5% contribution),5,0.05
MODERATE: belt anchorage dominates anomaly (34.8% contribution),5,0.05
ELEVATED: posture dominates anomaly (25.1% contribution),5,0.05
MODERATE: seat position dominates anomaly (36.0% contribution),5,0.05
ELEVATED: belt anchorage dominates anomaly (34.9% contribution),5,0.05
MODERATE: belt anchorage dominates anomaly (25.3% contribution),5,0.05
MODERATE: seat type dominates anomaly (44.2% contribution),5,0.05
ELEVATED: seat position dominates anomaly (30.5% contribution),5,0.05
ELEVATED: seat position dominates anomaly (31.7% contribution),5,0.05
MODERATE: posture dominates anomaly (30.9% contribution),5,0.05
MODERATE: seat performance dominates anomaly (27.9% contribution),5,0.05
ELEVATED: seat type dominates anomaly (36.3% contribution),5,0.05
ELEVATED: seat track position dominates anomaly (34.7% contribution),5,0.05
ELEVATED: seat performance dominates anomaly (38.8% contribution),5,0.05
ELEVATED: posture dominates anomaly (26.9% contribution),5,0.05
ELEVATED: seat track position dominates anomaly (42.6% contribution),5,0.05
ELEVATED: seat type dominates anomaly (45.6% contribution),5,0.05
ELEVATED: seat type dominates anomaly (35.6% contribution),5,0.05
MODERATE: belt anchorage dominates anomaly (26.1% contribution),5,0.05
MODERATE: seat track position dominates anomaly (45.1% contribution),5,0.05
MODERATE: belt anchorage dominates anomaly (41.7% contribution),5,0.05
MODERATE: belt use dominates anomaly (27.0% contribution),5,0.05
MODERATE: seat position dominates anomaly (34.7% contribution),5,0.05
MODERATE: seat type dominates anomaly (57.8% contribution),5,0.05
MODERATE: seat performance dominates anomaly (30.8% contribution),5,0.05
ELEVATED: seat track position dominates anomaly (45.1% contribution),5,0.05
ELEVATED: seat track position dominates anomaly (44.5% contribution),5,0.05
MODERATE: seat track position dominates anomaly (38.5% contribution),5,0.05
MODERATE: seat type dominates anomaly (59.3% contribution),5,0.05
ELEVATED: seat track position dominates anomaly (39.1% contribution),5,0.05
ELEVATED: seat track position dominates anomaly (45.5% contribution),5,0.05
ELEVATED: seat performance dominates anomaly (47.6% contribution),5,0.05
MODERATE: seat type dominates anomaly (26.7% contribution),5,0.05
MODERATE: seat performance dominates anomaly (29.2% contribution),5,0.05
MODERATE: seat performance dominates anomaly (36.8% contribution),5,0.05
ELEVATED: seat type dominates anomaly (43.4% contribution),5,0.05
MODERATE: seat track position dominates anomaly (37.1% contribution),5,0.05
MODERATE: belt anchorage dominates anomaly (41.0% contribution),5,0.05
ELEVATED: seat type dominates anomaly (33.5% contribution),5,0.05
MODERATE: seat performance dominates anomaly (39.3% contribution),5,0.05
MODERATE: posture dominates anomaly (30.6% contribution),5,0.05
ELEVATED: seat performance dominates anomaly (58.5% contribution),5,0.05
HIGH: seat performance dominates anomaly (32.6% contribution),5,0.05
ELEVATED: seat position dominates anomaly (32.1% contribution),5,0.05
